Beach,Image,Results,Seal Conf Lvl,Clump Conf Lvl,Overlap,Clump Threshold,Ground Truth,Median Prop Diff
LN,DJI_0786,1.0,38,36,20,6,3,0.6666666666666666
LN,DJI_0786,1.0,40,36,20,5,3,0.6666666666666666
LN,DJI_0786,1.0,40,36,20,6,3,0.6666666666666666
LN,DJI_0786,3.0,30,38,20,5,3,0.0
LN,DJI_0786,3.0,30,38,20,6,3,0.0
LN,DJI_0786,3.0,32,38,20,5,3,0.0
LN,DJI_0786,3.0,32,38,20,6,3,0.0
LN,DJI_0786,3.0,34,38,20,5,3,0.0
LN,DJI_0786,3.0,34,38,20,6,3,0.0
LN,DJI_0786,2.0,36,38,20,5,3,0.3333333333333333
LN,DJI_0786,2.0,36,38,20,6,3,0.3333333333333333
LN,DJI_0786,1.0,38,38,20,5,3,0.6666666666666666
LN,DJI_0786,1.0,38,38,20,6,3,0.6666666666666666
LN,DJI_0786,1.0,40,38,20,5,3,0.6666666666666666
LN,DJI_0786,1.0,40,38,20,6,3,0.6666666666666666
LN,DJI_0786,5.0,30,40,20,5,3,0.6666666666666666
LN,DJI_0786,5.0,30,40,20,6,3,0.6666666666666666
LN,DJI_0786,5.0,32,40,20,5,3,0.6666666666666666
LN,DJI_0786,5.0,32,40,20,6,3,0.6666666666666666
LN,DJI_0786,5.0,34,40,20,5,3,0.6666666666666666
LN,DJI_0786,5.0,34,40,20,6,3,0.6666666666666666
LN,DJI_0786,4.0,36,40,20,5,3,0.3333333333333333
LN,DJI_0786,4.0,36,40,20,6,3,0.3333333333333333
LN,DJI_0786,3.0,38,40,20,5,3,0.0
LN,DJI_0786,3.0,38,40,20,6,3,0.0
LN,DJI_0786,3.0,40,40,20,5,3,0.0
LN,DJI_0786,3.0,40,40,20,6,3,0.0
LN,DJI_0786,3.0,30,30,21,5,3,0.0
LN,DJI_0786,3.0,30,30,21,6,3,0.0
LN,DJI_0786,3.0,32,30,21,5,3,0.0
LN,DJI_0786,3.0,32,30,21,6,3,0.0
LN,DJI_0786,3.0,34,30,21,5,3,0.0
LN,DJI_0786,3.0,34,30,21,6,3,0.0
LN,DJI_0786,2.0,36,30,21,5,3,0.3333333333333333
LN,DJI_0786,2.0,36,30,21,6,3,0.3333333333333333
LN,DJI_0786,1.0,38,30,21,5,3,0.6666666666666666
LN,DJI_0786,1.0,38,30,21,6,3,0.6666666666666666
LN,DJI_0786,1.0,40,30,21,5,3,0.6666666666666666
LN,DJI_0786,1.0,40,30,21,6,3,0.6666666666666666
LN,DJI_0786,3.0,30,32,21,5,3,0.0
LN,DJI_0786,3.0,30,32,21,6,3,0.0
LN,DJI_0786,3.0,32,32,21,5,3,0.0
LN,DJI_0786,3.0,32,32,21,6,3,0.0
LN,DJI_0786,3.0,34,32,21,5,3,0.0
LN,DJI_0786,3.0,34,32,21,6,3,0.0
LN,DJI_0786,2.0,36,32,21,5,3,0.3333333333333333
LN,DJI_0786,2.0,36,32,21,6,3,0.3333333333333333
LN,DJI_0786,1.0,38,32,21,5,3,0.6666666666666666
LN,DJI_0786,1.0,38,32,21,6,3,0.6666666666666666
LN,DJI_0786,1.0,40,32,21,5,3,0.6666666666666666
LN,DJI_0786,1.0,40,32,21,6,3,0.6666666666666666
LN,DJI_0786,3.0,30,34,21,5,3,0.0
LN,DJI_0786,3.0,30,34,21,6,3,0.0
LN,DJI_0786,3.0,32,34,21,5,3,0.0
LN,DJI_0786,3.0,32,34,21,6,3,0.0
LN,DJI_0786,3.0,34,34,21,5,3,0.0
LN,DJI_0786,3.0,34,34,21,6,3,0.0
LN,DJI_0786,2.0,36,34,21,5,3,0.3333333333333333
LN,DJI_0786,2.0,36,34,21,6,3,0.3333333333333333
LN,DJI_0786,1.0,38,34,21,5,3,0.6666666666666666
